player_id,name,team_id,team_name,total_match,innings,total_runs,highest_run,average,not_out,strike_rate,ball_faced,batting_hand,4s,6s,50s,100s
2624920,Nelson Illur,597867,Skarp Elva(Sharp Eleven) - SCL2020,3,3,134,102,67.00,1,231.03,58,RHB,11,12,0,1
3923385,Chakra,597865,HotShots - SCL2020,3,3,82,57,27.33,0,146.43,56,RHB,5,6,1,0
4155940,Harsh Upadhyay,597869,The Assassinators - SCL2020,4,4,79,44,26.33,1,138.60,57,RHB,9,3,0,0
4108919,Arjun Dev,597863,Simeio Spirits - SCL2020,4,4,77,46,25.67,1,163.83,47,RHB,11,1,0,0
4193986,Kiran Kumar,597866,Roaring Lions - SCL2020,3,3,70,52,35.00,1,166.67,42,RHB,7,4,1,0
4115413,Prasanna Ganiga,597859,Simeio Ninjas - SCL2020,3,3,68,34,22.67,0,130.77,52,RHB,5,2,0,0
4102457,Mohd Imdad,597869,The Assassinators - SCL2020,4,3,67,29,67.00,2,121.82,55,RHB,6,3,0,0
4197038,Ritesh Kumar,597864,TNT - SCL2020,3,3,57,41,28.50,1,196.55,29,RHB,2,6,0,0
4162071,Mohammad Irfan Alam,597863,Simeio Spirits - SCL2020,4,4,52,32,17.33,1,101.96,51,RHB,6,2,0,0
3910031,Adarsh Kulkarni,597859,Simeio Ninjas - SCL2020,3,3,50,37,25.00,1,142.86,35,RHB,4,0,0,0
4114587,Sujith K J,597855,DareDevils - SCL2020,3,3,46,25,15.33,0,131.43,35,RHB,5,2,0,0
4185986,Jisson Jose,597855,DareDevils - SCL2020,3,3,39,21,13.00,0,105.41,37,RHB,4,1,0,0
4189087,Praveen Reddy Palvai,597867,Skarp Elva(Sharp Eleven) - SCL2020,3,3,35,17,17.50,1,83.33,42,RHB,0,0,0,0
4116400,Sumukh M,597863,Simeio Spirits - SCL2020,4,3,35,30,35.00,2,145.83,24,RHB,3,2,0,0
4102035,Indranil Biswas,597859,Simeio Ninjas - SCL2020,2,2,34,23,34.00,1,212.50,16,LHB,4,2,0,0
4166378,Sanjay Pagar,597865,HotShots - SCL2020,3,3,32,19,10.67,0,80.00,40,RHB,2,0,0,0
4187015,Akulapalli Dileep,597869,The Assassinators - SCL2020,4,3,31,31,10.33,0,119.23,26,RHB,3,1,0,0
4104358,Rudra Basu,597866,Roaring Lions - SCL2020,3,3,30,15,15.00,1,103.45,29,RHB,2,0,0,0
4202601,Pratith Shetty,597864,TNT - SCL2020,3,3,30,13,15.00,1,93.75,32,RHB,1,1,0,0
4171737,Sweekrithy Suresh,597863,Simeio Spirits - SCL2020,4,4,30,20,15.00,2,107.14,28,RHB,2,2,0,0
3914716,Vinayak Kammar,597855,DareDevils - SCL2020,3,3,28,11,14.00,1,116.67,24,RHB,2,2,0,0
4198196,Jayanta Roy,597867,Skarp Elva(Sharp Eleven) - SCL2020,3,2,27,26,13.50,0,168.75,16,RHB,6,0,0,0
4559295,Kumar Gaurav Raj,597855,DareDevils - SCL2020,3,2,25,15,-,2,78.13,32,RHB,1,0,0,0
2096878,Anuraag B,597863,Simeio Spirits - SCL2020,4,3,25,20,12.50,1,119.05,21,RHB,3,0,0,0
4116784,Kinthada Suresh,597864,TNT - SCL2020,3,3,23,13,7.67,0,85.19,27,RHB,2,0,0,0
4105406,Vivek Kumar,597866,Roaring Lions - SCL2020,3,3,20,10,10.00,1,90.91,22,RHB,2,0,0,0
4176680,Kartheek J,597865,HotShots - SCL2020,3,3,20,15,6.67,0,86.96,23,RHB,2,0,0,0
